Player,Team,batting_score,bowling_score,overall_score,Overall E(D),Season,Season_Adj,Player_team,Player_team_season,Salaries
M Morkel,Kolkata Knight Riders,0.04,-899.59,-899.55,-899.54,2016,2016,M Morkel|Kolkata Knight Riders,M Morkel|Kolkata Knight Riders|2016,466000
M Vijay,Kings XI Punjab,166.02,3.04,169.06,169.07,2016,2016,M Vijay|Kings XI Punjab,M Vijay|Kings XI Punjab|2016,500000
MC Henriques,Sunrisers Hyderabad,-27.49,282.17,254.68,254.68,2016,2016,MC Henriques|Sunrisers Hyderabad,MC Henriques|Sunrisers Hyderabad|2016,166000
MJ McClenaghan,Mumbai Indians,12.01,326.6,338.61,338.61,2016,2016,MJ McClenaghan|Mumbai Indians,MJ McClenaghan|Mumbai Indians|2016,50000
MK Pandey,Kolkata Knight Riders,1.38,0,1.38,1.38,2016,2016,MK Pandey|Kolkata Knight Riders,MK Pandey|Kolkata Knight Riders|2016,283000
MM Sharma,Kings XI Punjab,41.94,-1762.72,-1720.78,-1720.78,2016,2016,MM Sharma|Kings XI Punjab,MM Sharma|Kings XI Punjab|2016,975000
MS Dhoni,Rising Pune Supergiants,-1.7,0,-1.7,-1.7,2016,2016,MS Dhoni|Rising Pune Supergiants,MS Dhoni|Rising Pune Supergiants|2016,2083333
Mustafizur Rahman,Sunrisers Hyderabad,0,662.53,662.53,662.53,2016,2016,Mustafizur Rahman|Sunrisers Hyderabad,Mustafizur Rahman|Sunrisers Hyderabad|2016,210000
PP Chawla,Kolkata Knight Riders,-6.75,-544.61,-551.36,-551.36,2016,2016,PP Chawla|Kolkata Knight Riders,PP Chawla|Kolkata Knight Riders|2016,708000
Q de Kock,Delhi Daredevils,-10.04,0,-10.04,-10.04,2016,2016,Q de Kock|Delhi Daredevils,Q de Kock|Delhi Daredevils|2016,583000
R Ashwin,Rising Pune Supergiants,-6.39,451.46,445.07,445.07,2016,2016,R Ashwin|Rising Pune Supergiants,R Ashwin|Rising Pune Supergiants|2016,1250000
RG Sharma,Mumbai Indians,-8.87,0,-8.87,-8.87,2016,2016,RG Sharma|Mumbai Indians,RG Sharma|Mumbai Indians|2016,1916667
RV Uthappa,Kolkata Knight Riders,440.66,0,440.66,440.66,2016,2016,RV Uthappa|Kolkata Knight Riders,RV Uthappa|Kolkata Knight Riders|2016,833000
S Aravind,Royal Challengers Bangalore,0,262.58,262.58,262.58,2016,2016,S Aravind|Royal Challengers Bangalore,S Aravind|Royal Challengers Bangalore|2016,#N/A
S Dhawan,Sunrisers Hyderabad,-46.73,0,-46.73,-46.73,2016,2016,S Dhawan|Sunrisers Hyderabad,S Dhawan|Sunrisers Hyderabad|2016,2083333
SK Raina,Gujarat Lions,-16.09,41.21,25.12,25.11,2016,2016,SK Raina|Gujarat Lions,SK Raina|Gujarat Lions|2016,1583333
SP Narine,Kolkata Knight Riders,-9.36,430.47,421.11,421.12,2016,2016,SP Narine|Kolkata Knight Riders,SP Narine|Kolkata Knight Riders|2016,700000
SPD Smith,Rising Pune Supergiants,32.06,0,32.06,32.06,2016,2016,SPD Smith|Rising Pune Supergiants,SPD Smith|Rising Pune Supergiants|2016,666000
SR Watson,Royal Challengers Bangalore,3.68,338.56,342.24,342.25,2016,2016,SR Watson|Royal Challengers Bangalore,SR Watson|Royal Challengers Bangalore|2016,1425000
SV Samson,Delhi Daredevils,-52.96,0,-52.96,-52.96,2016,2016,SV Samson|Delhi Daredevils,SV Samson|Delhi Daredevils|2016,630000
Sandeep Sharma,Kings XI Punjab,11.13,-937.97,-926.84,-926.84,2016,2016,Sandeep Sharma|Kings XI Punjab,Sandeep Sharma|Kings XI Punjab|2016,141000
UT Yadav,Kolkata Knight Riders,1.99,-1181.79,-1179.8,-1179.8,2016,2016,UT Yadav|Kolkata Knight Riders,UT Yadav|Kolkata Knight Riders|2016,433000
V Kohli,Royal Challengers Bangalore,153.9,-2.4,151.5,151.5,2016,2016,V Kohli|Royal Challengers Bangalore,V Kohli|Royal Challengers Bangalore|2016,2500000
WP Saha,Kings XI Punjab,261.26,0,261.26,261.26,2016,2016,WP Saha|Kings XI Punjab,WP Saha|Kings XI Punjab|2016,366000
YK Pathan,Kolkata Knight Riders,349.52,63.85,413.37,413.37,2016,2016,YK Pathan|Kolkata Knight Riders,YK Pathan|Kolkata Knight Riders|2016,541000
YS Chahal,Royal Challengers Bangalore,0,338.62,338.62,338.62,2016,2016,YS Chahal|Royal Challengers Bangalore,YS Chahal|Royal Challengers Bangalore|2016,16000
Yuvraj Singh,Sunrisers Hyderabad,-1.53,27.65,26.12,26.12,2016,2016,Yuvraj Singh|Sunrisers Hyderabad,Yuvraj Singh|Sunrisers Hyderabad|2016,1050000
Z Khan,Delhi Daredevils,-2.31,386.06,383.75,383.75,2016,2016,Z Khan|Delhi Daredevils,Z Khan|Delhi Daredevils|2016,666667
A Mishra,Delhi Daredevils,37.01,-1176.57,-1139.56,-1139.56,2017,2017,A Mishra|Delhi Daredevils,A Mishra|Delhi Daredevils|2017,15000
AB de Villiers,Royal Challengers Bangalore,-12.14,0,-12.14,-12.14,2017,2017,AB de Villiers|Royal Challengers Bangalore,AB de Villiers|Royal Challengers Bangalore|2017,1583333
AJ Finch,Gujarat Lions,511.64,0,511.64,511.64,2017,2017,AJ Finch|Gujarat Lions,AJ Finch|Gujarat Lions|2017,150000
AJ Tye,Gujarat Lions,23.96,359.04,383,383,2017,2017,AJ Tye|Gujarat Lions,AJ Tye|Gujarat Lions|2017,75000
AM Rahane,Rising Pune Supergiant,-58.09,0,-58.09,-58.09,2017,2017,AM Rahane|Rising Pune Supergiant,AM Rahane|Rising Pune Supergiant|2017,#N/A
AR Patel,Kings XI Punjab,9.03,907.5,916.53,916.53,2017,2017,AR Patel|Kings XI Punjab,AR Patel|Kings XI Punjab|2017,125000
B Kumar,Sunrisers Hyderabad,0.13,-482.97,-482.84,-482.84,2017,2017,B Kumar|Sunrisers Hyderabad,B Kumar|Sunrisers Hyderabad|2017,708000
BA Stokes,Rising Pune Supergiant,21.4,826.78,848.18,848.18,2017,2017,BA Stokes|Rising Pune Supergiant,BA Stokes|Rising Pune Supergiant|2017,#N/A
BB McCullum,Gujarat Lions,277.08,0,277.08,277.08,2017,2017,BB McCullum|Gujarat Lions,BB McCullum|Gujarat Lions|2017,541000
Basil Thampi,Gujarat Lions,5.56,519.85,525.41,525.41,2017,2017,Basil Thampi|Gujarat Lions,Basil Thampi|Gujarat Lions|2017,#N/A
CA Lynn,Kolkata Knight Riders,407.57,0,407.57,407.57,2017,2017,CA Lynn|Kolkata Knight Riders,CA Lynn|Kolkata Knight Riders|2017,216000
CH Gayle,Royal Challengers Bangalore,87.01,0,87.01,87.01,2017,2017,CH Gayle|Royal Challengers Bangalore,CH Gayle|Royal Challengers Bangalore|2017,1400000
CH Morris,Delhi Daredevils,149.73,25.32,175.05,175.05,2017,2017,CH Morris|Delhi Daredevils,CH Morris|Delhi Daredevils|2017,1050000
CR Woakes,Kolkata Knight Riders,-2.91,-1927.41,-1930.32,-1930.33,2017,2017,CR Woakes|Kolkata Knight Riders,CR Woakes|Kolkata Knight Riders|2017,627000
DA Warner,Sunrisers Hyderabad,481.22,0,481.22,481.22,2017,2017,DA Warner|Sunrisers Hyderabad,DA Warner|Sunrisers Hyderabad|2017,916000
DR Smith,Gujarat Lions,31.03,-911.03,-880,-880,2017,2017,DR Smith|Gujarat Lions,DR Smith|Gujarat Lions|2017,345000
DT Christian,Rising Pune Supergiant,12.72,750.48,763.2,763.2,2017,2017,DT Christian|Rising Pune Supergiant,DT Christian|Rising Pune Supergiant|2017,#N/A
G Gambhir,Kolkata Knight Riders,556.71,0,556.71,556.71,2017,2017,G Gambhir|Kolkata Knight Riders,G Gambhir|Kolkata Knight Riders|2017,1666667
GJ Maxwell,Kings XI Punjab,59.01,419.96,478.97,478.97,2017,2017,GJ Maxwell|Kings XI Punjab,GJ Maxwell|Kings XI Punjab|2017,1000000
HH Pandya,Mumbai Indians,220.85,-676.33,-455.48,-455.47,2017,2017,HH Pandya|Mumbai Indians,HH Pandya|Mumbai Indians|2017,16667
HM Amla,Kings XI Punjab,20.12,0,20.12,20.12,2017,2017,HM Amla|Kings XI Punjab,HM Amla|Kings XI Punjab|2017,#N/A
Imran Tahir,Rising Pune Supergiant,-1.77,874.32,872.55,872.54,2017,2017,Imran Tahir|Rising Pune Supergiant,Imran Tahir|Rising Pune Supergiant|2017,#N/A
Ishan Kishan,Gujarat Lions,-4.19,0,-4.19,-4.19,2017,2017,Ishan Kishan|Gujarat Lions,Ishan Kishan|Gujarat Lions|2017,52500
JC Buttler,Mumbai Indians,43.09,0,43.09,43.09,2017,2017,JC Buttler|Mumbai Indians,JC Buttler|Mumbai Indians|2017,570000
JD Unadkat,Rising Pune Supergiant,-3.2,902.52,899.32,899.31,2017,2017,JD Unadkat|Rising Pune Supergiant,JD Unadkat|Rising Pune Supergiant|2017,#N/A
JJ Bumrah,Mumbai Indians,7.02,-305.5,-298.48,-298.48,2017,2017,JJ Bumrah|Mumbai Indians,JJ Bumrah|Mumbai Indians|2017,200000
KA Pollard,Mumbai Indians,249.2,-7.75,241.45,241.45,2017,2017,KA Pollard|Mumbai Indians,KA Pollard|Mumbai Indians|2017,900000
KD Karthik,Gujarat Lions,515.04,0,515.04,515.04,2017,2017,KD Karthik|Gujarat Lions,KD Karthik|Gujarat Lions|2017,345000
KH Pandya,Mumbai Indians,1.61,753.44,755.05,755.05,2017,2017,KH Pandya|Mumbai Indians,KH Pandya|Mumbai Indians|2017,300000
KK Nair,Delhi Daredevils,277,0,277,277,2017,2017,KK Nair|Delhi Daredevils,KK Nair|Delhi Daredevils|2017,600000
KM Jadhav,Royal Challengers Bangalore,410.7,0,410.7,410.7,2017,2017,KM Jadhav|Royal Challengers Bangalore,KM Jadhav|Royal Challengers Bangalore|2017,333000
KS Williamson,Sunrisers Hyderabad,42.02,0,42.02,42.02,2017,2017,KS Williamson|Sunrisers Hyderabad,KS Williamson|Sunrisers Hyderabad|2017,100000
KV Sharma,Mumbai Indians,54.7,-313.14,-258.44,-258.44,2017,2017,KV Sharma|Mumbai Indians,KV Sharma|Mumbai Indians|2017,478000
Kuldeep Yadav,Kolkata Knight Riders,-2.9,-116.79,-119.69,-119.69,2017,2017,Kuldeep Yadav|Kolkata Knight Riders,Kuldeep Yadav|Kolkata Knight Riders|2017,66000
M Vohra,Kings XI Punjab,-0.66,0,-0.66,-0.66,2017,2017,M Vohra|Kings XI Punjab,M Vohra|Kings XI Punjab|2017,58333
MC Henriques,Sunrisers Hyderabad,262.06,-1043.63,-781.57,-781.57,2017,2017,MC Henriques|Sunrisers Hyderabad,MC Henriques|Sunrisers Hyderabad|2017,166000
MJ McClenaghan,Mumbai Indians,32.74,-768.63,-735.89,-735.88,2017,2017,MJ McClenaghan|Mumbai Indians,MJ McClenaghan|Mumbai Indians|2017,50000
MK Pandey,Kolkata Knight Riders,-29.06,0,-29.06,-29.06,2017,2017,MK Pandey|Kolkata Knight Riders,MK Pandey|Kolkata Knight Riders|2017,283000
MK Tiwary,Rising Pune Supergiant,9.94,0,9.94,9.94,2017,2017,MK Tiwary|Rising Pune Supergiant,MK Tiwary|Rising Pune Supergiant|2017,#N/A
MM Sharma,Kings XI Punjab,1.63,684.76,686.39,686.4,2017,2017,MM Sharma|Kings XI Punjab,MM Sharma|Kings XI Punjab|2017,975000
MS Dhoni,Rising Pune Supergiant,-58.21,0,-58.21,-58.21,2017,2017,MS Dhoni|Rising Pune Supergiant,MS Dhoni|Rising Pune Supergiant|2017,#N/A
Mohammed Siraj,Sunrisers Hyderabad,0,-747.03,-747.03,-747.03,2017,2017,Mohammed Siraj|Sunrisers Hyderabad,Mohammed Siraj|Sunrisers Hyderabad|2017,388000
N Rana,Mumbai Indians,144.72,0,144.72,144.72,2017,2017,N Rana|Mumbai Indians,N Rana|Mumbai Indians|2017,16667
NM Coulter-Nile,Kolkata Knight Riders,1.42,476.23,477.65,477.65,2017,2017,NM Coulter-Nile|Kolkata Knight Riders,NM Coulter-Nile|Kolkata Knight Riders|2017,522000
P Negi,Royal Challengers Bangalore,185.52,562.72,748.24,748.24,2017,2017,P Negi|Royal Challengers Bangalore,P Negi|Royal Challengers Bangalore|2017,149000
PA Patel,Mumbai Indians,378,0,378,378,2017,2017,PA Patel|Mumbai Indians,PA Patel|Mumbai Indians|2017,233000
PJ Cummins,Delhi Daredevils,85.99,-730.57,-644.58,-644.58,2017,2017,PJ Cummins|Delhi Daredevils,PJ Cummins|Delhi Daredevils|2017,672000
RA Tripathi,Rising Pune Supergiant,19.49,2.67,22.16,22.16,2017,2017,RA Tripathi|Rising Pune Supergiant,RA Tripathi|Rising Pune Supergiant|2017,#N/A
RG Sharma,Mumbai Indians,387.44,0,387.44,387.44,2017,2017,RG Sharma|Mumbai Indians,RG Sharma|Mumbai Indians|2017,1916667
RR Pant,Delhi Daredevils,484.98,0,484.98,484.98,2017,2017,RR Pant|Delhi Daredevils,RR Pant|Delhi Daredevils|2017,285000
RV Uthappa,Kolkata Knight Riders,69.14,0,69.14,69.14,2017,2017,RV Uthappa|Kolkata Knight Riders,RV Uthappa|Kolkata Knight Riders|2017,833000
Rashid Khan,Sunrisers Hyderabad,1.63,411.87,413.5,413.5,2017,2017,Rashid Khan|Sunrisers Hyderabad,Rashid Khan|Sunrisers Hyderabad|2017,597000
S Dhawan,Sunrisers Hyderabad,479.16,0,479.16,479.16,2017,2017,S Dhawan|Sunrisers Hyderabad,S Dhawan|Sunrisers Hyderabad|2017,2083333
S Kaul,Sunrisers Hyderabad,-1.5,-174.84,-176.34,-176.33,2017,2017,S Kaul|Sunrisers Hyderabad,S Kaul|Sunrisers Hyderabad|2017,16667
SE Marsh,Kings XI Punjab,-3.49,0,-3.49,-3.49,2017,2017,SE Marsh|Kings XI Punjab,SE Marsh|Kings XI Punjab|2017,366000
SK Raina,Gujarat Lions,412.85,138.46,551.31,551.31,2017,2017,SK Raina|Gujarat Lions,SK Raina|Gujarat Lions|2017,1583333
SL Malinga,Mumbai Indians,4.34,-676.98,-672.64,-672.64,2017,2017,SL Malinga|Mumbai Indians,SL Malinga|Mumbai Indians|2017,1350000
SN Thakur,Rising Pune Supergiant,-2.9,631.87,628.97,628.96,2017,2017,SN Thakur|Rising Pune Supergiant,SN Thakur|Rising Pune Supergiant|2017,#N/A
SP Narine,Kolkata Knight Riders,41.62,-282.98,-241.36,-241.35,2017,2017,SP Narine|Kolkata Knight Riders,SP Narine|Kolkata Knight Riders|2017,700000
SPD Smith,Rising Pune Supergiant,-31.47,0,-31.47,-31.47,2017,2017,SPD Smith|Rising Pune Supergiant,SPD Smith|Rising Pune Supergiant|2017,#N/A
SS Iyer,Delhi Daredevils,1.61,0,1.61,1.61,2017,2017,SS Iyer|Delhi Daredevils,SS Iyer|Delhi Daredevils|2017,433333
SV Samson,Delhi Daredevils,331.05,0,331.05,331.05,2017,2017,SV Samson|Delhi Daredevils,SV Samson|Delhi Daredevils|2017,630000
Sandeep Sharma,Kings XI Punjab,0.79,799.5,800.29,800.3,2017,2017,Sandeep Sharma|Kings XI Punjab,Sandeep Sharma|Kings XI Punjab|2017,141000
UT Yadav,Kolkata Knight Riders,0.27,674.19,674.46,674.47,2017,2017,UT Yadav|Kolkata Knight Riders,UT Yadav|Kolkata Knight Riders|2017,433000
V Kohli,Royal Challengers Bangalore,-15.48,0,-15.48,-15.48,2017,2017,V Kohli|Royal Challengers Bangalore,V Kohli|Royal Challengers Bangalore|2017,2500000
WP Saha,Kings XI Punjab,-10.19,0,-10.19,-10.19,2017,2017,WP Saha|Kings XI Punjab,WP Saha|Kings XI Punjab|2017,366000
YS Chahal,Royal Challengers Bangalore,-6.45,77.66,71.21,71.21,2017,2017,YS Chahal|Royal Challengers Bangalore,YS Chahal|Royal Challengers Bangalore|2017,16000
Yuvraj Singh,Sunrisers Hyderabad,218.58,3.89,222.47,222.47,2017,2017,Yuvraj Singh|Sunrisers Hyderabad,Yuvraj Singh|Sunrisers Hyderabad|2017,1050000
Z Khan,Delhi Daredevils,4.72,-460.89,-456.17,-456.16,2017,2017,Z Khan|Delhi Daredevils,Z Khan|Delhi Daredevils|2017,666667
A Mishra,Delhi Daredevils,-0.54,80.57,80.03,80.03,2018,2018,A Mishra|Delhi Daredevils,A Mishra|Delhi Daredevils|2018,625000
AB de Villiers,Royal Challengers Bangalore,91.61,0,91.61,91.61,2018,2018,AB de Villiers|Royal Challengers Bangalore,AB de Villiers|Royal Challengers Bangalore|2018,1718750
AD Russell,Kolkata Knight Riders,67.2,-143.15,-75.95,-75.94,2018,2018,AD Russell|Kolkata Knight Riders,AD Russell|Kolkata Knight Riders|2018,1328130
AJ Tye,Kings XI Punjab,1.25,-11.28,-10.03,-10.02,2018,2018,AJ Tye|Kings XI Punjab,AJ Tye|Kings XI Punjab|2018,1125000
AM Rahane,Rajasthan Royals,-63.38,0,-63.38,-63.38,2018,2018,AM Rahane|Rajasthan Royals,AM Rahane|Rajasthan Royals|2018,625000
AS Rajpoot,Kings XI Punjab,-0.13,-52.94,-53.07,-53.07,2018,2018,AS Rajpoot|Kings XI Punjab,AS Rajpoot|Kings XI Punjab|2018,468750
AT Rayudu,Chennai Super Kings,43.36,0,43.36,43.36,2018,2018,AT Rayudu|Chennai Super Kings,AT Rayudu|Chennai Super Kings|2018,343750
CA Lynn,Kolkata Knight Riders,-24.73,0,-24.73,-24.73,2018,2018,CA Lynn|Kolkata Knight Riders,CA Lynn|Kolkata Knight Riders|2018,1500000
CH Gayle,Kings XI Punjab,11.93,0,11.93,11.93,2018,2018,CH Gayle|Kings XI Punjab,CH Gayle|Kings XI Punjab|2018,312500
DJ Bravo,Chennai Super Kings,11.74,-194.23,-182.49,-182.5,2018,2018,DJ Bravo|Chennai Super Kings,DJ Bravo|Chennai Super Kings|2018,1000000
DL Chahar,Chennai Super Kings,10.56,62.38,72.94,72.94,2018,2018,DL Chahar|Chennai Super Kings,DL Chahar|Chennai Super Kings|2018,125000
E Lewis,Mumbai Indians,-13.63,0,-13.63,-13.63,2018,2018,E Lewis|Mumbai Indians,E Lewis|Mumbai Indians|2018,593750
HH Pandya,Mumbai Indians,-24.94,-123.73,-148.67,-148.66,2018,2018,HH Pandya|Mumbai Indians,HH Pandya|Mumbai Indians|2018,1718750
Ishan Kishan,Mumbai Indians,15.61,0,15.61,15.61,2018,2018,Ishan Kishan|Mumbai Indians,Ishan Kishan|Mumbai Indians|2018,968750
JC Archer,Rajasthan Royals,-13.65,-33.49,-47.14,-47.14,2018,2018,JC Archer|Rajasthan Royals,JC Archer|Rajasthan Royals|2018,1125000
JC Buttler,Rajasthan Royals,50.05,0,50.05,50.05,2018,2018,JC Buttler|Rajasthan Royals,JC Buttler|Rajasthan Royals|2018,687500
JD Unadkat,Rajasthan Royals,-0.96,-200.54,-201.5,-201.49,2018,2018,JD Unadkat|Rajasthan Royals,JD Unadkat|Rajasthan Royals|2018,1796880
JJ Bumrah,Mumbai Indians,-0.25,179.25,179,179,2018,2018,JJ Bumrah|Mumbai Indians,JJ Bumrah|Mumbai Indians|2018,1093750
K Gowtham,Rajasthan Royals,32.87,12.77,45.64,45.65,2018,2018,K Gowtham|Rajasthan Royals,K Gowtham|Rajasthan Royals|2018,968750
KD Karthik,Kolkata Knight Riders,36.81,0,36.81,36.81,2018,2018,KD Karthik|Kolkata Knight Riders,KD Karthik|Kolkata Knight Riders|2018,1156250
KH Pandya,Mumbai Indians,11.28,126.98,138.26,138.26,2018,2018,KH Pandya|Mumbai Indians,KH Pandya|Mumbai Indians|2018,1375000
KK Nair,Kings XI Punjab,-11.73,0,-11.73,-11.73,2018,2018,KK Nair|Kings XI Punjab,KK Nair|Kings XI Punjab|2018,875000
KL Rahul,Kings XI Punjab,83.86,0,83.86,83.86,2018,2018,KL Rahul|Kings XI Punjab,KL Rahul|Kings XI Punjab|2018,1718750
KS Williamson,Sunrisers Hyderabad,10.94,0,10.94,10.94,2018,2018,KS Williamson|Sunrisers Hyderabad,KS Williamson|Sunrisers Hyderabad|2018,468750
Kuldeep Yadav,Kolkata Knight Riders,-11.28,-3.21,-14.49,-14.49,2018,2018,Kuldeep Yadav|Kolkata Knight Riders,Kuldeep Yadav|Kolkata Knight Riders|2018,906250
L Ngidi,Chennai Super Kings,0,142.73,142.73,142.73,2018,2018,L Ngidi|Chennai Super Kings,L Ngidi|Chennai Super Kings|2018,78130
M Markande,Mumbai Indians,1.78,-34.87,-33.09,-33.08,2018,2018,M Markande|Mumbai Indians,M Markande|Mumbai Indians|2018,31250
M Prasidh Krishna,Kolkata Knight Riders,-2.09,-87.65,-89.74,-89.74,2018,2018,M Prasidh Krishna|Kolkata Knight Riders,M Prasidh Krishna|Kolkata Knight Riders|2018,15620
MJ McClenaghan,Mumbai Indians,1.78,-41.51,-39.73,-39.73,2018,2018,MJ McClenaghan|Mumbai Indians,MJ McClenaghan|Mumbai Indians|2018,50000
MK Pandey,Sunrisers Hyderabad,-66.17,0,-66.17,-66.17,2018,2018,MK Pandey|Sunrisers Hyderabad,MK Pandey|Sunrisers Hyderabad|2018,1718750
MS Dhoni,Chennai Super Kings,30.81,0,30.81,30.81,2018,2018,MS Dhoni|Chennai Super Kings,MS Dhoni|Chennai Super Kings|2018,2343750
Mandeep Singh,Royal Challengers Bangalore,-3.04,0,-3.04,-3.04,2018,2018,Mandeep Singh|Royal Challengers Bangalore,Mandeep Singh|Royal Challengers Bangalore|2018,218750
Mohammed Siraj,Royal Challengers Bangalore,3.58,-112.53,-108.95,-108.95,2018,2018,Mohammed Siraj|Royal Challengers Bangalore,Mohammed Siraj|Royal Challengers Bangalore|2018,406250
Mujeeb Ur Rahman,Kings XI Punjab,5.67,144.13,149.8,149.8,2018,2018,Mujeeb Ur Rahman|Kings XI Punjab,Mujeeb Ur Rahman|Kings XI Punjab|2018,625000
N Rana,Kolkata Knight Riders,-26.13,14.22,-11.91,-11.91,2018,2018,N Rana|Kolkata Knight Riders,N Rana|Kolkata Knight Riders|2018,531250
PP Chawla,Kolkata Knight Riders,-20.33,-49.5,-69.83,-69.83,2018,2018,PP Chawla|Kolkata Knight Riders,PP Chawla|Kolkata Knight Riders|2018,656250
PP Shaw,Delhi Daredevils,22.23,0,22.23,22.23,2018,2018,PP Shaw|Delhi Daredevils,PP Shaw|Delhi Daredevils|2018,187500
Q de Kock,Royal Challengers Bangalore,-22.74,0,-22.74,-22.74,2018,2018,Q de Kock|Royal Challengers Bangalore,Q de Kock|Royal Challengers Bangalore|2018,437500
R Ashwin,Kings XI Punjab,2.09,28.63,30.72,30.72,2018,2018,R Ashwin|Kings XI Punjab,R Ashwin|Kings XI Punjab|2018,1187500
RA Jadeja,Chennai Super Kings,-9.83,77.64,67.81,67.81,2018,2018,RA Jadeja|Chennai Super Kings,RA Jadeja|Chennai Super Kings|2018,1093750
RA Tripathi,Rajasthan Royals,-10.02,0,-10.02,-10.02,2018,2018,RA Tripathi|Rajasthan Royals,RA Tripathi|Rajasthan Royals|2018,531250
RG Sharma,Mumbai Indians,10.51,0,10.51,10.51,2018,2018,RG Sharma|Mumbai Indians,RG Sharma|Mumbai Indians|2018,2343750
RR Pant,Delhi Daredevils,122.63,0,122.63,122.63,2018,2018,RR Pant|Delhi Daredevils,RR Pant|Delhi Daredevils|2018,2343750
RV Uthappa,Kolkata Knight Riders,-22.34,0,-22.34,-22.34,2018,2018,RV Uthappa|Kolkata Knight Riders,RV Uthappa|Kolkata Knight Riders|2018,1000000
Rashid Khan,Sunrisers Hyderabad,16.93,280.01,296.94,296.94,2018,2018,Rashid Khan|Sunrisers Hyderabad,Rashid Khan|Sunrisers Hyderabad|2018,1406250
S Dhawan,Sunrisers Hyderabad,-20.05,0,-20.05,-20.05,2018,2018,S Dhawan|Sunrisers Hyderabad,S Dhawan|Sunrisers Hyderabad|2018,812500
S Gopal,Rajasthan Royals,13.87,27.58,41.45,41.46,2018,2018,S Gopal|Rajasthan Royals,S Gopal|Rajasthan Royals|2018,31250
S Kaul,Sunrisers Hyderabad,-7.76,-70.94,-78.7,-78.7,2018,2018,S Kaul|Sunrisers Hyderabad,S Kaul|Sunrisers Hyderabad|2018,593750
SA Yadav,Mumbai Indians,-15.89,0,-15.89,-15.89,2018,2018,SA Yadav|Mumbai Indians,SA Yadav|Mumbai Indians|2018,500000
SK Raina,Chennai Super Kings,-46.03,0,-46.03,-46.03,2018,2018,SK Raina|Chennai Super Kings,SK Raina|Chennai Super Kings|2018,1718750
SN Thakur,Chennai Super Kings,10.34,-141.47,-131.13,-131.12,2018,2018,SN Thakur|Chennai Super Kings,SN Thakur|Chennai Super Kings|2018,406250
SP Narine,Kolkata Knight Riders,86.88,79.96,166.84,166.84,2018,2018,SP Narine|Kolkata Knight Riders,SP Narine|Kolkata Knight Riders|2018,1953130
SR Watson,Chennai Super Kings,58.17,-60.65,-2.48,-2.48,2018,2018,SR Watson|Chennai Super Kings,SR Watson|Chennai Super Kings|2018,625000
SS Iyer,Delhi Daredevils,-28.71,0,-28.71,-28.71,2018,2018,SS Iyer|Delhi Daredevils,SS Iyer|Delhi Daredevils|2018,1093750
SV Samson,Rajasthan Royals,-9.81,0,-9.81,-9.81,2018,2018,SV Samson|Rajasthan Royals,SV Samson|Rajasthan Royals|2018,1250000
Sandeep Sharma,Sunrisers Hyderabad,-2.47,93.08,90.61,90.6,2018,2018,Sandeep Sharma|Sunrisers Hyderabad,Sandeep Sharma|Sunrisers Hyderabad|2018,468750
Shakib Al Hasan,Sunrisers Hyderabad,-37.6,41.69,4.09,4.09,2018,2018,Shakib Al Hasan|Sunrisers Hyderabad,Shakib Al Hasan|Sunrisers Hyderabad|2018,312500
Shubman Gill,Kolkata Knight Riders,27.58,0,27.58,27.58,2018,2018,Shubman Gill|Kolkata Knight Riders,Shubman Gill|Kolkata Knight Riders|2018,281250
TA Boult,Delhi Daredevils,-1.24,-141.39,-142.63,-142.63,2018,2018,TA Boult|Delhi Daredevils,TA Boult|Delhi Daredevils|2018,343750
UT Yadav,Royal Challengers Bangalore,-6.22,31.27,25.05,25.04,2018,2018,UT Yadav|Royal Challengers Bangalore,UT Yadav|Royal Challengers Bangalore|2018,656250
V Kohli,Royal Challengers Bangalore,10.21,0,10.21,10.21,2018,2018,V Kohli|Royal Challengers Bangalore,V Kohli|Royal Challengers Bangalore|2018,2656250
V Shankar,Delhi Daredevils,5.85,-16.32,-10.47,-10.47,2018,2018,V Shankar|Delhi Daredevils,V Shankar|Delhi Daredevils|2018,500000
YK Pathan,Sunrisers Hyderabad,-18.83,2.67,-16.16,-16.15,2018,2018,YK Pathan|Sunrisers Hyderabad,YK Pathan|Sunrisers Hyderabad|2018,296880
YS Chahal,Royal Challengers Bangalore,-2.47,93.83,91.36,91.35,2018,2018,YS Chahal|Royal Challengers Bangalore,YS Chahal|Royal Challengers Bangalore|2018,937500
A Mishra,Delhi Capitals,2.75,98.67,101.42,101.42,2019,2019,A Mishra|Delhi Capitals,A Mishra|Delhi Capitals|2019,625000
AB de Villiers,Royal Challengers Bangalore,57.34,0,57.34,57.34,2019,2019,AB de Villiers|Royal Challengers Bangalore,AB de Villiers|Royal Challengers Bangalore|2019,1718750
AD Russell,Kolkata Knight Riders,131.39,-140.2,-8.81,-8.81,2019,2019,AD Russell|Kolkata Knight Riders,AD Russell|Kolkata Knight Riders|2019,1328130
AM Rahane,Rajasthan Royals,13.92,0,13.92,13.92,2019,2019,AM Rahane|Rajasthan Royals,AM Rahane|Rajasthan Royals|2019,625000
AR Patel,Delhi Capitals,-3.64,122.44,118.8,118.8,2019,2019,AR Patel|Delhi Capitals,AR Patel|Delhi Capitals|2019,714300
